1800,1400,1575,1900,1750
1400,1575,1900,1750,1400
1575,1900,1750,1400,2150
1900,1750,1400,2150,1800
1750,1400,2150,1800,2000
1400,2150,1800,2000,1750
2150,1800,2000,1750,1900
1800,2000,1750,1900,1550
2000,1750,1900,1550,1600
1750,1900,1550,1600,1600
1900,1550,1600,1600,1500
1550,1600,1600,1500,1500
1600,1600,1500,1500,1600
1600,1500,1500,1600,1500
1500,1500,1600,1500,1700
1500,1600,1500,1700,1650
1600,1500,1700,1650,1500
1500,1700,1650,1500,1500
1700,1650,1500,1500,1400
1650,1500,1500,1400,1500
1500,1500,1400,1500,1500
1500,1400,1500,1500,1400
1400,1500,1500,1400,1750
1500,1500,1400,1750,1450
1500,1400,1750,1450,1500
1400,1750,1450,1500,1600
1750,1450,1500,1600,1550
1450,1500,1600,1550,1550
1500,1600,1550,1550,1425
1600,1550,1550,1425,1500
1550,1550,1425,1500,1500
1550,1425,1500,1500,1500
1425,1500,1500,1500,1600
1500,1500,1500,1600,1400
1500,1500,1600,1400,1475
1500,1600,1400,1475,1500
1600,1400,1475,1500,1500
1400,1475,1500,1500,1550
1475,1500,1500,1550,1400
1500,1500,1550,1400,1500
1500,1550,1400,1500,1500
1550,1400,1500,1500,1500
1400,1500,1500,1500,1300
1500,1500,1500,1300,1450
1500,1500,1300,1450,1600
1500,1300,1450,1600,1750
1300,1450,1600,1750,1600
1450,1600,1750,1600,1450
1600,1750,1600,1450,1550
1750,1600,1450,1550,1500
1600,1450,1550,1500,1595
1450,1550,1500,1595,1500
1550,1500,1595,1500,1600
1500,1595,1500,1600,1800
1595,1500,1600,1800,1600
1500,1600,1800,1600,1500
1600,1800,1600,1500,1600
1800,1600,1500,1600,1750
1600,1500,1600,1750,1600
1500,1600,1750,1600,1625
1600,1750,1600,1625,1600
1750,1600,1625,1600,1500
1600,1625,1600,1500,1700
1625,1600,1500,1700,1600
1600,1500,1700,1600,1500
1500,1700,1600,1500,1700
1700,1600,1500,1700,1700
1600,1500,1700,1700,1500
1500,1700,1700,1500,1800
1700,1700,1500,1800,1500
1700,1500,1800,1500,1600
1500,1800,1500,1600,1675
1800,1500,1600,1675,1600
1500,1600,1675,1600,1600
1600,1675,1600,1600,1800
1675,1600,1600,1800,1600
1600,1600,1800,1600,1500
1600,1800,1600,1500,1600
1800,1600,1500,1600,1700
1600,1500,1600,1700,1800
1500,1600,1700,1800,1500
1600,1700,1800,1500,1650
1700,1800,1500,1650,1900
1800,1500,1650,1900,1800
1500,1650,1900,1800,1800
1650,1900,1800,1800,1600
1900,1800,1800,1600,1600
1800,1800,1600,1600,1800
1800,1600,1600,1800,2100
1600,1600,1800,2100,2000
1600,1800,2100,2000,1900
1800,2100,2000,1900,1800
2100,2000,1900,1800,1950
2000,1900,1800,1950,1900
1900,1800,1950,1900,1700
1800,1950,1900,1700,1500
1950,1900,1700,1500,2100
1900,1700,1500,2100,1900
1700,1500,2100,1900,2000
1500,2100,1900,2000,2125
2100,1900,2000,2125,2200
1900,2000,2125,2200,2500
2000,2125,2200,2500,2500
2125,2200,2500,2500,2200
2200,2500,2500,2200,2000
2500,2500,2200,2000,2100
2500,2200,2000,2100,1825
2200,2000,2100,1825,1800
2000,2100,1825,1800,1800
2100,1825,1800,1800,1825
1825,1800,1800,1825,2075
1800,1800,1825,2075,2000
1800,1825,2075,2000,2200
1825,2075,2000,2200,1950
2075,2000,2200,1950,2000
2000,2200,1950,2000,2100
2200,1950,2000,2100,1950
1950,2000,2100,1950,2100
2000,2100,1950,2100,2100
2100,1950,2100,2100,2000
1950,2100,2100,2000,2100
2100,2100,2000,2100,2000
2100,2000,2100,2000,2200
2000,2100,2000,2200,2175
2100,2000,2200,2175,2200
2000,2200,2175,2200,2150
2200,2175,2200,2150,2075
2175,2200,2150,2075,2100
2200,2150,2075,2100,2100
2150,2075,2100,2100,2100
2075,2100,2100,2100,2100
2100,2100,2100,2100,2050
2100,2100,2100,2050,2000
2100,2100,2050,2000,2200
2100,2050,2000,2200,2200
2050,2000,2200,2200,2200
2000,2200,2200,2200,2100
2200,2200,2200,2100,2200
2200,2200,2100,2200,2100
2200,2100,2200,2100,2200
2100,2200,2100,2200,2100
2200,2100,2200,2100,2050
2100,2200,2100,2050,1999
2200,2100,2050,1999,1900
2100,2050,1999,1900,2000
2050,1999,1900,2000,2000
1999,1900,2000,2000,2000
1900,2000,2000,2000,2000
2000,2000,2000,2000,2000
2000,2000,2000,2000,2000
2000,2000,2000,2000,2000
2000,2000,2000,2000,2000
2000,2000,2000,2000,1999
2000,2000,2000,1999,2000
2000,2000,1999,2000,2000
2000,1999,2000,2000,1900
1999,2000,2000,1900,2000
2000,2000,1900,2000,2000
2000,1900,2000,2000,2000
1900,2000,2000,2000,2200
2000,2000,2000,2200,2300
2000,2000,2200,2300,2400
2000,2200,2300,2400,2400
2200,2300,2400,2400,2274
2300,2400,2400,2274,2500
2400,2400,2274,2500,2500
2400,2274,2500,2500,2800
2274,2500,2500,2800,2900
2500,2500,2800,2900,2800
2500,2800,2900,2800,2800
2800,2900,2800,2800,3000
2900,2800,2800,3000,3000
2800,2800,3000,3000,2850
2800,3000,3000,2850,3000
3000,3000,2850,3000,2900
