0,1,2,3,4,5,6,7
-639.5805,470.7267,533.97784,245.39267,814.4019,517.42346,55.589375,-1108.2695
491.59067,873.3399,116.7423,-449.8517,663.76135,487.96494,808.53296,-1108.1615
723.62634,793.41376,49.843594,-327.7694,370.60355,655.9216,943.211,-817.9726
723.8462,793.4054,49.70595,-327.61438,370.37445,655.85724,943.0061,-818.32056
632.35376,828.4257,81.08664,-379.1879,493.75574,578.01807,888.7268,-941.6095
-699.8595,495.70193,574.02325,216.09506,897.3141,447.4138,17.228354,-1191.9918
688.7446,807.634,52.278973,-352.5788,414.997,639.83264,926.0687,-860.56885
431.45193,878.30707,124.17766,-461.46768,711.4572,473.6878,773.8937,-1153.9589
-520.30206,434.03802,510.7246,307.94943,672.6146,587.6885,124.041664,-965.58215
-605.8627,461.6355,532.73627,264.23758,777.83673,528.72296,73.22103,-1072.3999
565.95087,844.1146,85.29918,-411.4868,563.5753,555.5614,852.20825,-1012.0264
514.5946,848.17834,152.17348,-458.4369,567.0415,534.7589,811.0483,-1080.9479
434.10455,890.98016,129.99675,-477.84677,731.1777,452.9866,776.5608,-1173.739
-473.1318,421.5636,509.15067,333.7749,621.0944,602.6696,150.0398,-913.3765
-370.9179,383.99008,482.99203,373.1313,479.26022,688.52924,206.49644,-794.8852
657.75275,820.2703,75.02217,-366.25082,462.7666,594.7736,903.9071,-910.41833
630.91675,833.06555,104.5783,-370.04977,502.4004,547.14966,884.8555,-944.72516
441.36444,886.84753,121.04326,-474.1651,717.4532,468.10312,780.45483,-1162.1619
683.77966,801.1648,61.595345,-337.385,409.65643,633.17303,919.06726,-855.69385
550.45056,820.8456,96.9356,-369.81793,536.7045,567.2638,839.331,-979.6755
444.34692,893.41376,157.2968,-462.65283,731.5561,417.08328,776.14984,-1171.9261
456.70557,872.02515,116.985344,-453.2151,685.501,486.40735,787.42786,-1131.8112
671.1413,812.8625,59.840225,-361.27063,439.7155,620.4544,912.7482,-890.04126
536.6978,830.37836,99.408325,-385.83453,562.3227,552.79376,831.68604,-1006.67847
-448.91888,410.91257,490.88162,343.65134,585.01154,635.5154,164.81723,-880.813
497.41327,843.8948,131.041,-394.44647,614.18585,501.1654,806.207,-1053.737
528.6006,863.0312,110.812485,-431.21786,621.80865,504.82037,828.95123,-1067.5469
684.0314,811.93695,68.91561,-350.30237,428.36432,613.4751,919.1325,-874.6001
820.7539,769.3147,40.44011,-281.96048,268.2553,690.62805,996.2692,-718.07184
-484.08606,422.03522,497.07327,325.5481,625.6904,618.0179,145.65881,-919.65967
637.7864,826.1489,79.92678,-375.7678,486.4428,581.95807,892.05756,-934.5936
-444.6901,406.26862,484.3542,341.55817,572.60077,650.5579,166.84622,-875.9587
637.391,826.377,79.25447,-376.0925,486.46585,582.86365,891.94696,-934.48425
451.0624,884.1082,123.84091,-468.2592,708.9177,465.88373,784.55585,-1154.9116
767.96063,785.69135,51.466442,-308.64145,330.31097,660.5507,966.23566,-779.7283
-429.722,404.59988,485.8175,353.27512,561.87115,647.52576,175.42627,-858.96533
614.9542,812.9074,74.80922,-361.12115,478.85873,602.1126,878.5309,-926.17084
637.6203,815.334,84.104454,-355.26538,468.6143,588.45294,889.90826,-914.5926
-512.1381,422.08463,500.56903,289.66257,626.49976,639.1131,127.90333,-955.5783
-480.3244,427.63535,517.14685,331.6939,632.16486,590.9377,145.38951,-921.4775
-482.10318,413.2586,471.518,322.1818,609.3796,654.7691,149.89754,-908.7222
557.7984,846.7856,89.931335,-413.95578,572.8748,548.59735,848.66864,-1019.0552
473.73672,874.2673,106.27196,-460.0559,674.9264,498.89975,800.941,-1120.8826
603.701,843.4427,108.23532,-390.25638,539.30176,530.87683,870.62933,-982.99493
495.60703,855.64624,120.04276,-419.36545,632.8161,501.76462,807.96625,-1075.9966
-443.4688,411.17316,497.19125,348.0983,582.64105,627.4072,166.35066,-878.056
-322.82043,372.09433,467.16013,409.72424,436.04144,705.5511,235.34358,-733.4877
642.89215,824.9395,93.40194,-362.7408,480.18024,569.0472,892.84534,-924.54584
563.7956,856.1874,114.27599,-411.1643,585.27655,510.9595,848.57886,-1027.926
-381.53772,392.90985,538.97205,345.13306,475.1019,655.6326,191.95538,-831.92596
-498.2972,421.84326,485.80872,315.70303,634.2823,630.3113,139.69864,-930.87665
498.7345,861.30457,87.38285,-454.96997,629.55096,542.13873,815.36786,-1088.1288
807.3218,770.2805,33.864094,-288.1171,275.9263,698.9651,990.49365,-725.4854
673.25214,813.16223,69.124504,-354.99994,438.22498,611.34393,914.2286,-884.2653
571.74207,844.56836,92.62316,-406.3885,560.7162,547.00134,854.42395,-1008.09503
756.45074,795.3481,131.23608,-346.10934,319.97736,615.74475,946.1553,-829.32874
751.0585,793.69025,121.705055,-350.11417,319.73935,628.70306,944.4789,-830.59344
573.0896,842.5037,75.99287,-412.62415,554.2134,568.512,857.30615,-1004.5224
574.2023,846.8793,99.1208,-403.8882,561.3711,538.64307,855.5712,-1005.9485
422.3543,888.4937,172.67087,-518.51074,699.3093,461.33377,758.9737,-1209.8119
588.9078,846.01636,112.71243,-401.35995,547.1201,530.82324,862.14935,-997.9234
-586.17426,455.83536,525.27747,274.03644,751.44403,546.8975,86.23924,-1044.3645
693.2609,807.51215,57.96687,-349.36386,414.5757,629.5304,925.41516,-863.61066
676.75055,792.6353,47.813644,-335.18787,400.76727,656.5228,916.038,-850.06226
-541.49115,430.83,537.7228,252.31747,640.64087,618.2057,104.41211,-1009.15533
685.3914,806.13873,62.487118,-347.5978,420.30792,623.8843,919.7322,-869.8961
-555.22314,447.08466,577.2725,255.69984,683.2673,550.7191,92.68139,-1038.2966
-688.71265,493.11703,569.8135,224.88513,887.54175,450.8196,24.161171,-1177.8575
619.06287,826.21826,59.08147,-390.09708,494.85513,607.5354,885.55066,-945.25806
-487.10864,421.41437,493.17087,323.579,626.2093,623.39044,145.1293,-920.14
-337.5947,367.18106,442.63007,392.83734,431.90332,744.7654,231.239,-739.2174
433.94046,889.8531,137.26234,-470.11563,728.9392,445.85254,774.15283,-1170.7819
675.6105,814.7242,70.59015,-356.43768,440.34924,606.5938,913.97516,-888.2447
734.05634,793.4883,56.05868,-323.05353,365.80566,646.40985,947.0019,-814.6478
667.20276,811.2519,54.055737,-361.539,437.2169,630.6625,911.85754,-886.77454
639.72504,827.93353,85.59527,-373.53543,487.4454,573.77747,892.44745,-934.01074
424.9378,893.0966,132.95734,-479.93515,740.471,446.7001,769.95624,-1183.9695
739.23615,780.89557,43.792606,-309.71954,340.08435,674.6142,950.97906,-789.11035
-621.81335,464.13654,523.6052,254.36514,788.134,540.7283,68.23835,-1080.3512
472.67484,874.0014,115.26448,-468.736,666.6536,501.94168,798.7573,-1126.0874
773.1966,782.28516,50.93399,-302.3161,320.78177,664.8818,968.85114,-769.41003
772.7757,782.4502,51.16519,-302.50415,321.1227,664.9533,969.24927,-768.8567
814.2954,768.1628,29.782545,-287.37924,268.57532,705.8011,995.4647,-718.3909
-323.55383,370.81415,477.49176,398.31827,425.37762,709.6083,232.92914,-740.7745
816.84906,768.3354,32.83385,-285.50513,268.07413,701.05963,995.22046,-718.9966
654.421,817.7287,78.01752,-359.78568,459.69632,595.12024,901.6763,-905.48047
-458.75006,416.33817,501.19583,339.9258,601.52783,617.6508,158.14041,-895.84906
-417.63687,395.96304,464.47733,356.2003,536.7579,682.98975,185.46188,-835.53595
832.9278,772.7213,65.00811,-270.46265,268.82544,657.9941,998.8701,-715.5562
499.62982,862.86957,103.81327,-447.2391,649.33966,507.255,811.0248,-1100.6978
-401.10385,392.42886,467.4905,366.2773,520.4397,683.80695,193.37259,-818.4481
-577.3498,453.43866,525.5938,279.044,742.389,549.1647,90.47619,-1035.105
-331.80627,369.10788,449.91037,401.55292,435.9725,729.0747,233.44626,-735.321
-326.8818,370.7095,460.21222,406.06775,436.26425,715.61487,234.73244,-734.0828
-322.46854,371.84375,513.0128,376.64938,401.36032,706.7122,227.2573,-754.9541
669.6553,816.0921,71.790474,-359.50497,447.57397,602.6487,910.398,-895.6952
642.6924,824.9641,93.64851,-362.9851,480.59872,569.18353,893.0833,-924.027
-693.8849,491.833,559.42065,220.11902,887.4987,464.42636,22.468409,-1179.7356
735.4145,797.84576,83.46859,-313.97577,376.32483,608.6677,943.94977,-820.7909
